epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.5266,1.32475,4.60046,1.16841,0,0,0,0,1.19464,4.45585,0.99912,5.56e-05,5.56e-05,5.56e-05
2,101.193,1.25256,4.05789,1.10967,0.04529,0.06009,0.06913,0.03882,1.04749,4.33137,0.94652,0.000112907,0.000112907,0.000112907
3,403.121,1.22836,3.29595,1.04403,0.0641,0.67338,0.36444,0.24563,1.09427,3.96287,0.96675,0.000166177,0.000166177,0.000166177
4,452.018,1.26226,2.65338,1.05094,0.76965,0.23129,0.37526,0.26913,1.058,3.63222,0.94055,0.000215411,0.000215411,0.000215411
5,501.52,1.23222,2.19014,1.02483,0.95472,0.20021,0.64247,0.47307,1.10188,3.33447,0.9741,0.000260608,0.000260608,0.000260608
6,617.1,1.20473,1.79459,1.01044,0.06511,0.85488,0.65461,0.48331,1.06837,3.31775,0.98074,0.000301769,0.000301769,0.000301769
7,666.279,1.18123,1.56623,1.00016,0.07349,0.92182,0.7761,0.58761,1.07993,3.05004,0.97757,0.000338893,0.000338893,0.000338893
8,715.77,1.17287,1.46419,1.02078,0.91035,0.63505,0.84203,0.64746,1.09848,2.49989,0.97286,0.000371981,0.000371981,0.000371981
9,1292.53,1.12233,1.33892,0.99147,0.90733,0.68899,0.87221,0.66816,1.11798,2.1214,0.9954,0.000401032,0.000401032,0.000401032
10,1341.43,1.12047,1.27618,0.99618,0.83088,0.86363,0.90174,0.70454,1.11145,1.74739,0.98659,0.000390868,0.000390868,0.000390868
11,1390.75,1.10313,1.24375,0.98759,0.87235,0.88415,0.91007,0.69321,1.06123,1.51688,0.96997,0.00037252,0.00037252,0.00037252
12,2402.87,1.06474,1.23212,0.98251,0.88463,0.91993,0.92877,0.72361,1.04019,1.0793,0.96698,0.000354172,0.000354172,0.000354172
13,2452.34,1.0756,1.14716,0.97772,0.89361,0.94242,0.95004,0.73674,1.04049,0.96408,0.97375,0.000335824,0.000335824,0.000335824
14,2501.66,1.06177,1.0981,0.984,0.94272,0.917,0.95321,0.74247,1.02148,0.97951,0.97222,0.000317476,0.000317476,0.000317476
15,7659.52,1.028,1.09316,0.96535,0.92098,0.92109,0.95716,0.75724,1.01091,0.89316,0.95938,0.000299128,0.000299128,0.000299128
16,8652.56,1.013,1.05494,0.95789,0.93907,0.94948,0.96909,0.76002,1.00666,0.86289,0.95801,0.00028078,0.00028078,0.00028078
17,8701.82,1.02703,1.0522,0.9634,0.92022,0.95324,0.96512,0.76135,0.97892,0.89928,0.95644,0.000262432,0.000262432,0.000262432
18,8751.16,0.99373,0.97992,0.95518,0.92119,0.93075,0.96261,0.76672,0.96055,0.85853,0.95384,0.000244084,0.000244084,0.000244084
19,8800.61,1.02651,0.99602,0.96266,0.95018,0.94044,0.96759,0.77641,0.94603,0.79259,0.93782,0.000225736,0.000225736,0.000225736
20,8850.01,1.00597,0.95575,0.96365,0.93682,0.9472,0.96855,0.77936,0.94633,0.78059,0.93459,0.000207388,0.000207388,0.000207388
21,8899.53,1.02925,1.14564,0.97469,0.9032,0.94976,0.97151,0.77324,0.95907,0.86082,0.94465,0.00018904,0.00018904,0.00018904
22,8949.01,0.98952,1.03984,0.96435,0.88566,0.88991,0.95837,0.76334,0.97039,1.12352,0.95245,0.000170692,0.000170692,0.000170692
23,8998.17,1.00374,1.03741,0.96835,0.90689,0.92539,0.95867,0.77134,0.95092,0.91701,0.9402,0.000152344,0.000152344,0.000152344
24,9046.97,0.98463,0.99634,0.95999,0.91771,0.94569,0.9633,0.77618,0.94295,0.76469,0.93324,0.000133996,0.000133996,0.000133996
25,9095.88,0.98125,0.97728,0.95369,0.9132,0.93552,0.96571,0.77386,0.9352,0.76829,0.93103,0.000115648,0.000115648,0.000115648
26,9144.95,0.99015,0.96908,0.96175,0.92096,0.95406,0.96949,0.77488,0.92122,0.76314,0.92732,9.73e-05,9.73e-05,9.73e-05
27,9193.69,0.97312,0.95191,0.9553,0.9172,0.95778,0.96836,0.77673,0.92075,0.72108,0.9274,7.8952e-05,7.8952e-05,7.8952e-05
28,9242.71,0.96356,0.94399,0.95145,0.9293,0.95561,0.97229,0.78561,0.9207,0.70021,0.92695,6.0604e-05,6.0604e-05,6.0604e-05
29,9292.06,0.96367,0.92407,0.95776,0.92396,0.93682,0.97102,0.78948,0.91736,0.69428,0.92572,4.2256e-05,4.2256e-05,4.2256e-05
30,9341.4,0.96108,0.92763,0.95283,0.92329,0.94022,0.97031,0.78214,0.91434,0.68624,0.92396,2.3908e-05,2.3908e-05,2.3908e-05
